idx,sign_new,sign_del,sign_mut,lane_new,lane_del,lane_mut,pole_new,pole_del,pole_mut,dlnt_new,dlnt_del,dlnt_mut,brer_new,brer_del,brer_mut,lat,lon,alt,heading,qx,qy,qz,qw,image_name,iter_duration
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699179288321,2.02984035522,43.2426114315,-0.374760080273,0.00803058055073,-0.00866890540745,-0.186206858669,0.98243949719,./2010231204343010282-1-114933683.JPG,67
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699179574329,2.02984019023,43.2193003697,-0.376505617465,0.0079409008144,-0.0086390478437,-0.187065209246,0.982277413176,./2010231204343010282-1-114933786.JPG,62
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699179861122,2.02984002022,43.1956622377,-0.376888269832,0.00788773697384,-0.00862458971686,-0.187253667607,0.982242059793,./2010231204343010282-1-114933889.JPG,58
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699180147722,2.02983985463,43.1704297373,-0.381758063697,0.00795591724233,-0.00861608417889,-0.189644523407,0.981782777001,./2010231204343010282-1-114933992.JPG,58
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699180448473,2.02983972612,43.1421176996,-0.390685323265,0.00800431856419,-0.00858259397778,-0.194025213931,0.980926340927,./2010231204343010282-1-114934102.JPG,56
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699180711324,2.02983953771,43.1216900013,-0.38813840354,0.00799704182967,-0.00859345806011,-0.192775747295,0.981172620417,./2010231204343010282-1-114934205.JPG,59
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699180990421,2.0298393502,43.099222579,-0.374210383488,0.00796044729783,-0.00865427083398,-0.185937453328,0.982491220482,./2010231204343010282-1-114934308.JPG,56
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699181277833,2.02983918783,43.0736233275,-0.379143372738,0.00799379646258,-0.00863724284386,-0.1883602801,0.982029481296,./2010231204343010282-1-114934411.JPG,391
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699181563393,2.02983901682,43.0488072261,-0.376844861761,0.0079519443132,-0.00863882103087,-0.18723176003,0.982245593214,./2010231204343010282-1-114934514.JPG,108
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699181850891,2.0298388502,43.0236923276,-0.377887278186,0.00789809656796,-0.00862094456969,-0.187744273567,0.982148352912,./2010231204343010282-1-114934617.JPG,58
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699182136642,2.02983868181,42.9984948458,-0.378944803199,0.00781551155997,-0.00859638896217,-0.18826441881,0.982049656833,./2010231204343010282-1-114934720.JPG,60
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699182443981,2.02983849704,42.9713405529,-0.373171606598,0.0077131887828,-0.00860052497823,-0.185429368535,0.982589683934,./2010231204343010282-1-114934823.JPG,62
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699182731942,2.02983833262,42.945102415,-0.375892945732,0.00767377449111,-0.00857792248372,-0.18676674514,0.982336864492,./2010231204343010282-1-114934926.JPG,89
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699183018504,2.02983816403,42.9196248781,-0.375626367081,0.0075942144425,-0.0085604529688,-0.186636525397,0.982362384225,./2010231204343010282-1-114935029.JPG,54
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699183302833,2.02983798808,42.8944966458,-0.370996241335,0.00752293818199,-0.00856569703952,-0.184362127704,0.982792267015,./2010231204343010282-1-114935137.JPG,61
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699183590533,2.02983782229,42.8681379948,-0.371754439526,0.0074932678164,-0.0085549220032,-0.184735020005,0.982722563408,./2010231204343010282-1-114935239.JPG,46
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699183877415,2.0298376585,42.8416354656,-0.373262029439,0.00747762764742,-0.00854392166338,-0.185475990212,0.982583199298,./2010231204343010282-1-114935341.JPG,46
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699184182922,2.02983747851,42.8133958876,-0.374295376671,0.00748481053749,-0.00854053577936,-0.185983647987,0.982487210879,./2010231204343010282-1-114935443.JPG,282
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699184464971,2.02983730943,42.7875269847,-0.371567862929,0.00747234122507,-0.00855038302728,-0.184643528967,0.982739956589,./2010231204343010282-1-114935545.JPG,64
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699184756001,2.0298371396,42.7600067295,-0.372477763343,0.00752135665723,-0.00855744483474,-0.185090219465,0.982655488964,./2010231204343010282-1-114935647.JPG,57
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69918504542,2.02983697697,42.7325664908,-0.374770763372,0.00755354507637,-0.0085538994052,-0.186216578796,0.982442446428,./2010231204343010282-1-114935749.JPG,61
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699185329239,2.02983679843,42.7065066155,-0.370082751735,0.00757390581875,-0.0085809875098,-0.183912698304,0.982875944363,./2010231204343010282-1-114935851.JPG,63
